id,ticker,name,marketCap
0,005930,삼성전자,3969905
1,373220,LG에너지솔루션,1007370
2,000660,SK하이닉스,771682
3,207940,삼성바이오로직스,593591
4,005935,삼성전자우,494554
5,035420,NAVER,442932
6,006400,삼성SDI,405710
7,005380,현대차,396354
8,051910,LG화학,388257
9,035720,카카오,362820
10,000270,기아,336046
11,005490,POSCO홀딩스,256329
12,105560,KB금융,246586
13,055550,신한지주,220048
14,068270,셀트리온,219597
15,028260,삼성물산,218657
16,323410,카카오뱅크,196455
17,096770,SK이노베이션,195102
18,012330,현대모비스,191037
19,034730,SK,176475
20,066570,LG전자,169375
21,011200,HMM,165050
22,015760,한국전력,152787
23,086790,하나금융지주,145140
24,032830,삼성생명,139600
25,377300,카카오페이,137780
26,034020,두산에너빌리티,127391
27,017670,SK텔레콤,125172
28,010950,S-Oil,123841
29,259960,크래프톤,122189
30,003550,LG,117503
31,033780,KT&G,116973
32,018260,삼성에스디에스,113745
33,009150,삼성전기,111667
34,051900,LG생활건강,111357
35,329180,현대중공업,109190
36,010130,고려아연,108691
37,316140,우리금융지주,108481
38,247540,에코프로비엠,107056
39,302440,SK바이오사이언스,104042
40,003490,대한항공,102433
41,003670,포스코케미칼,99540
42,030200,KT,99353
43,036570,엔씨소프트,99012
44,091990,셀트리온헬스케어,96000
45,000810,삼성화재,94512
46,090430,아모레퍼시픽,91248
47,352820,하이브,90357
48,011070,LG이노텍,87804
49,066970,엘앤에프,87596
50,361610,SK아이이테크놀로지,86270
51,024110,기업은행,83733
52,086280,현대글로비스,78187
53,251270,넷마블,70309
54,326030,SK바이오팜,68680
55,011170,롯데케미칼,68379
56,009830,한화솔루션,68286
57,402340,SK스퀘어,65075
58,009540,한국조선해양,63412
59,034220,LG디스플레이,61723
60,032640,LG유플러스,60034
61,097950,CJ제일제당,59162
62,018880,한온시스템,58984
63,035250,강원랜드,58940
64,011790,SKC,58317
65,088980,맥쿼리인프라,57488
66,004020,현대제철,54779
67,383220,F&F,54012
68,021240,코웨이,51733
69,010140,삼성중공업,50776
70,028300,HLB,50053
71,047810,한국항공우주,50004
72,137310,에스디바이오센서,49880
73,006800,미래에셋증권,49286
